[# ERROR | 2024-03-27 | 17:02:09.569 | PID=8672 | ThreadId=1468 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:09.679 | PID=8672 | ThreadId=1468 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:14.090 | PID=8672 | ThreadId=5584 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:24.049 | PID=8672 | ThreadId=6376 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:30.349 | PID=8672 | ThreadId=5352 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:30.391 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:30.491 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:30.598 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:30.690 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:30.799 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:30.894 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:30.999 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:31.092 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:31.201 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:31.293 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:31.403 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:31.496 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:31.604 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:31.697 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:31.791 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:31.899 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:31.993 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:32.100 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:32.195 | PID=8672 | ThreadId= 752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
